[2026-04-02T07:45:52.029Z] ═══ CONCORD MIGRATION START ═══
[2026-04-02T07:45:52.063Z] ✓ Source DB connected
[2026-04-02T07:45:52.280Z] ✓ Destination DB connected
[2026-04-02T07:45:52.282Z] ── Categories...
[2026-04-02T07:45:53.403Z]    ✓ 28 categories
[2026-04-02T08:00:32.012Z]    Progress: 7100/17722 — ok:7100 fail:0
[2026-04-02T08:00:43.530Z]    Progress: 7200/17722 — ok:7200 fail:0
[2026-04-02T08:00:55.025Z]    Progress: 7300/17722 — ok:7300 fail:0
[2026-04-02T08:01:06.566Z]    Progress: 7400/17722 — ok:7400 fail:0
[2026-04-02T08:01:20.111Z]    Progress: 7500/17722 — ok:7500 fail:0
[2026-04-02T08:01:33.910Z]    Progress: 7600/17722 — ok:7600 fail:0
[2026-04-02T08:01:45.613Z]    Progress: 7700/17722 — ok:7700 fail:0
[2026-04-02T08:01:56.946Z]    Progress: 7800/17722 — ok:7800 fail:0
[2026-04-02T08:02:08.575Z]    Progress: 7900/17722 — ok:7900 fail:0
[2026-04-02T08:02:23.039Z]    Progress: 8000/17722 — ok:8000 fail:0
[2026-04-02T08:02:34.764Z]    Progress: 8100/17722 — ok:8100 fail:0
[2026-04-02T08:02:46.667Z]    Progress: 8200/17722 — ok:8200 fail:0
[2026-04-02T08:02:58.574Z]    Progress: 8300/17722 — ok:8300 fail:0
[2026-04-02T08:03:10.465Z]    Progress: 8400/17722 — ok:8400 fail:0
[2026-04-02T08:03:22.711Z]    Progress: 8500/17722 — ok:8500 fail:0
[2026-04-02T08:03:33.727Z]    Progress: 8600/17722 — ok:8600 fail:0
[2026-04-02T08:03:45.069Z]    Progress: 8700/17722 — ok:8700 fail:0
[2026-04-02T08:03:57.120Z]    Progress: 8800/17722 — ok:8800 fail:0
[2026-04-02T08:04:10.296Z]    Progress: 8900/17722 — ok:8900 fail:0
[2026-04-02T08:04:24.740Z]    Progress: 9000/17722 — ok:9000 fail:0
[2026-04-02T08:04:39.008Z]    Progress: 9100/17722 — ok:9100 fail:0
[2026-04-02T08:04:52.424Z]    Progress: 9200/17722 — ok:9200 fail:0
[2026-04-02T08:05:05.522Z]    Progress: 9300/17722 — ok:9300 fail:0
[2026-04-02T08:05:19.351Z]    Progress: 9400/17722 — ok:9400 fail:0
[2026-04-02T08:05:31.672Z]    Progress: 9500/17722 — ok:9500 fail:0
[2026-04-02T08:05:44.337Z]    Progress: 9600/17722 — ok:9600 fail:0
[2026-04-02T08:05:56.241Z]    Progress: 9700/17722 — ok:9700 fail:0
[2026-04-02T08:06:09.140Z]    Progress: 9800/17722 — ok:9800 fail:0
[2026-04-02T08:06:26.367Z]    Progress: 9900/17722 — ok:9900 fail:0
[2026-04-02T08:06:42.110Z]    Progress: 10000/17722 — ok:10000 fail:0
[2026-04-02T08:06:54.171Z]    Progress: 10100/17722 — ok:10100 fail:0
[2026-04-02T08:07:04.943Z]    Progress: 10200/17722 — ok:10200 fail:0
[2026-04-02T08:07:16.666Z]    Progress: 10300/17722 — ok:10300 fail:0
[2026-04-02T08:07:28.219Z]    Progress: 10400/17722 — ok:10400 fail:0
[2026-04-02T08:07:39.102Z]    Progress: 10500/17722 — ok:10500 fail:0
[2026-04-02T08:07:50.107Z]    Progress: 10600/17722 — ok:10600 fail:0
[2026-04-02T08:08:01.241Z]    Progress: 10700/17722 — ok:10700 fail:0
[2026-04-02T08:08:12.206Z]    Progress: 10800/17722 — ok:10800 fail:0
[2026-04-02T08:08:25.534Z]    Progress: 10900/17722 — ok:10900 fail:0
[2026-04-02T08:08:36.321Z]    Progress: 11000/17722 — ok:11000 fail:0
[2026-04-02T08:08:46.850Z]    Progress: 11100/17722 — ok:11100 fail:0
[2026-04-02T08:08:57.907Z]    Progress: 11200/17722 — ok:11200 fail:0
[2026-04-02T08:09:08.599Z]    Progress: 11300/17722 — ok:11300 fail:0
[2026-04-02T08:09:20.089Z]    Progress: 11400/17722 — ok:11400 fail:0
[2026-04-02T08:09:31.379Z]    Progress: 11500/17722 — ok:11500 fail:0
[2026-04-02T08:09:42.180Z]    Progress: 11600/17722 — ok:11600 fail:0
[2026-04-02T08:09:52.809Z]    Progress: 11700/17722 — ok:11700 fail:0
[2026-04-02T08:10:03.794Z]    Progress: 11800/17722 — ok:11800 fail:0
[2026-04-02T08:10:14.723Z]    Progress: 11900/17722 — ok:11900 fail:0
[2026-04-02T08:10:30.018Z]    Progress: 12000/17722 — ok:12000 fail:0
[2026-04-02T08:10:45.816Z]    Progress: 12100/17722 — ok:12100 fail:0
[2026-04-02T08:10:59.196Z]    Progress: 12200/17722 — ok:12200 fail:0
[2026-04-02T08:11:12.887Z]    Progress: 12300/17722 — ok:12300 fail:0
[2026-04-02T08:11:26.308Z]    Progress: 12400/17722 — ok:12400 fail:0
